query,target_cui,target_name,with_definitions_rank,without_definitions_rank,rank_gain,with_definitions_score,without_definitions_score,with_definitions_matched_queries,without_definitions_matched_queries,source_definition
abnormal neuronal migration disease,C5191309,Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation,1,,50,33.1354,,and_definitions;phrase_definitions,,"A rare genetic non-syndromic cerebral malformation due to abnormal neuronal migration disease with the association of cortical dysplasia and pontocerebellar hypoplasia, manifesting with global developmental delay, mild to severe intellectual disability, axial hypotonia, strabismus, nystagmus and occasionally, optic nerve hypoplasia. Brain imaging reveals variable malformations, including frontally predominant microgyria, gyral disorganization and simplification, dysmorphic and hypertrophic basal ganglia, cerebellar vermis dysplasia, brainstem/corpus callosum hypoplasia, and/or olfactory bulbs agenesis. Caused by heterozygous mutation in the TUBB3 gene on chromosome 16q24."
acute abdomen with certain,C5679783,Malignant non-dysgerminomatous germ cell tumor of ovary,1,,50,33.3244,,and_definitions;phrase_definitions,,"Malignant non-dysgerminomatous germ cell tumor of ovary is a rare malignant germ cell tumor of ovary arising from germ cells in the ovary, frequently unilateral at diagnosis, usually presenting during adolescence with pelvic mass, fever, vaginal bleeding and acute abdomen, with certain subtypes being occasionally associated with isosexual precocity, virilization, hyperthyroidism or carcinoid syndrome. Histologically they comprise the following: embryonal carcinoma, Yolk sac tumor, polyembryoma and mixed germ cell tumor."
blood from the uterus,C1571918,Specimen Type - Menstrual blood,1,,50,39.9046,,and_definitions;phrase_definitions,,The discharged blood from the uterus during the reproductive years. The discharge occurs approximately once a month.
blood of hcv infected,C3898996,HCV Antigen Therapeutic Bivalent Vaccine V5,1,,50,46.9970,,and_definitions;phrase_definitions,,"An orally bioavailable, therapeutic bivalent vaccine composed of heat- and chemical-inactivated hepatitis C virus (HCV) antigens derived from the blood of HCV-infected carriers, with potential immunomodulating activity. Upon oral administration of the HCV antigen therapeutic bivalent vaccine V5, the HCV antigens may stimulate the host immune system to mount an immune response against HCV-infected cells, thereby preventing further HCV-infection and HCV-induced liver injury."
disorder in which blood,C4286212,"IVD Panels, Human Genetics, Pulmonary Disorder, Hypertension, Mutation",1,,50,23.2324,,and_definitions;phrase_definitions,,"Molecular assay reagents intended to identify mutations in genes associated with pulmonary hypertension, a disorder in which blood pressure is elevated in the arteries of the lungs and the right side of the heart. Genetic variants at multiple loci have been associated with pulmonary hypertension. These reagents are intended to detect mutations in multiple pulmonary hypertension-associated loci simultaneously."
fetal haemoglobin growth,C4707260,Non-distal trisomy 13q,1,,50,21.3920,,and_definitions;phrase_definitions,,"A rare chromosomal anomaly disorder resulting from the partial duplication of the proximal long arm of chromosome 13 with a highly variable phenotype. The disease is principally characterised by increased polymorphonuclear leucocyte projections and persistence of fetal haemoglobin, growth and developmental delay and craniofacial dysmorphism (including microcephaly, depressed nasal bridge, stubby nose, low-set, malformed ears, cleft lip/palate, micrognathia). Strabismus, clinodactyly and undescended testes in males may also be associated."
fetal hemoglobin growth,C4707260,Non-distal trisomy 13q,1,,50,18.9558,,and_definitions;phrase_definitions,,"A rare chromosomal anomaly disorder resulting from the partial duplication of the proximal long arm of chromosome 13 with a highly variable phenotype. The disease is principally characterized by increased polymorphonuclear leucocyte projections and persistence of fetal hemoglobin, growth and developmental delay and craniofacial dysmorphism (including microcephaly, depressed nasal bridge, stubby nose, low-set, malformed ears, cleft lip/palate, micrognathia). Strabismus, clinodactyly and undescended testes in males may also be associated."
infection of various salmonid,C1135869,"Hemorrhagic Septicemia, Viral",1,,50,34.0677,,and_definitions;phrase_definitions,,"A systemic infection of various salmonid and a few nonsalmonid fishes caused by Viral hemorrhagic septicemia virus (see NOVIRHABDOVIRUS),"
inflammation along with increased,C3889136,Tumor Necrosis Factor Receptor 1-Associated Periodic Syndrome,1,,50,37.7934,,and_definitions;phrase_definitions,,"An autoinflammatory disease caused by mutations in the TNFRSF1A gene coding for tumor necrosis factor receptor 1 (TNFR1). This results in attacks of fever, rash, peritoneal, pleural, or pericardial serositis and/or synovial inflammation along with increased acute phase reactants. Complications may include amyloidosis."
skin area related,C4531175,Cutaneous sclerotic plaque,1,,50,36.9065,,and_definitions;phrase_definitions,,"A solid, raised, plateau-like (flat-topped) lesion greater than 1 cm in diameter that is characterized by hardening (sclerosis) of the affected skin area (related to collagen thickening). []"
skin but without dystopia,C2700265,Waardenburg Syndrome Type 2,1,,50,28.3275,,and_definitions;phrase_definitions,,"An autosomal dominant subtype of Waardenburg syndrome (WS) with characteristics of varying degrees of deafness and pigmentation anomalies of eyes, hair and skin but without dystopia canthorum. The disease is genetically very heterogeneous, mutations have been found in MITF (3p14-p13; subtype designated as WS2A), SNAI2 (8q11.21; WS2D), and SOX10 (22q13.1; WS2E) genes. Furthermore WS2 loci have been mapped to chromosome 1p21-p13.3 (subtype designated as WS2B) and to chromosome 8p23 (designated as WS2C). Digenic inheritance of MITF mutation in combination a TYR mutation (and/or the TYRR402Q hypomorphic allele) has been reported in two families with WS2 and ocular albinism. In the majority of cases, WS2 is transmitted as an autosomal dominant disorder with a large variable inter and intrafamilial expressivity. Some affected patients present with a de novo mutation."
skin color without elevation,C1842774,Hypermelanotic macule,1,,50,60.8065,,and_definitions;phrase_definitions,,A hyperpigmented circumscribed area of change in normal skin color without elevation or depression of any size. [https://orcid.org/0000-0003-1773-4011]
skin rash chemical,C0568062,Methotrexate poisoning,1,,50,31.4654,,and_definitions;phrase_definitions,,"A rare intoxication characterized by acute renal tubular toxicity due to crystallization of methotrexate in the renal tubular lumen (which in turn leads to impaired methotrexate clearance and further deterioration of renal function and exacerbation of non-renal adverse events), myelosuppression with pancytopenia, gastrointestinal mucositis, maculopapular skin rash, chemical conjunctivitis, hepatotoxicity (reversible chemical hepatitis and hyperbilirubinemia), pulmonary toxicity, and, in severe cases, multiorgan failure. Central nervous system involvement, including headaches, seizures, and stroke-like symptoms, may also be observed."
blood concentration of growth,C4476923,Reduced growth-hormone binding protein level,2,,49,41.7014,,and_definitions;phrase_definitions,,A decreased blood concentration of growth hormone binding protein. []
disease dermatological abnormalities,C1275081,Cardio-facio-cutaneous syndrome,2,,49,12.3446,,and_definitions;phrase_definitions,,"A rare, multiple congenital anomalies syndrome characterized by craniofacial dysmorphology, congenital heart disease, dermatological abnormalities (most commonly hyperkeratotic skin and sparse, curly hair), neurological manifestations (hypotonia, seizures), failure to thrive and intellectual disability."
infection associated with vaccination,C3830467,BCGosis,2,,49,30.5878,,and_definitions;phrase_definitions,,"A rare systemic and life-threatening infection associated with vaccination with the live attenuated strain of Mycobacterium bovis, bacillus Calmette-Guerin."
secretion from the adrenal,C0244718,perindopril erbumine,2,,49,28.0610,,and_definitions;phrase_definitions,,"The tert-butylamine salt of perindopril, the ethyl ester of a non-sulfhydryl angiotensin converting enzyme (ACE) inhibitor with antihypertensive activity. Upon hydrolysis, perindopril erbumine is converted to its active form perindoprilat, inhibiting ACE and the conversion of angiotensin I to angiotensin II; consequently, angiotensin II-mediated vasoconstriction and angiotensin II-stimulated aldosterone secretion from the adrenal cortex are inhibited and diuresis and natriuresis ensue."
skin grafts from donor,C1742520,"Dermatomes, Manual",2,,49,44.1739,,and_definitions;phrase_definitions,,"Dermatomes designed to harvest large, uniform-thickness skin grafts using manual (mechanical) procedures. These dermatomes are manually operated, handheld frames with an attached cutting blade or, more frequently, a drum with an oscillating blade that is manually operated as the drum rolls over the skin. Several models of manual dermatomes are available, including Reese and Padgett-Hood drum dermatomes. Manual dermatomes are used mainly to obtain skin grafts from donor sites, but they are sometimes used in other procedures (e.g., to remove tattoos)."
abnormal specific antibody,C5191061,Combined immunodeficiency with granulomatosis,3,,48,24.1719,,and_definitions;phrase_definitions,,"A rare genetic non-severe combined immunodeficiency disease with characteristics of immunodeficiency (manifested by recurrent and/or severe bacterial and viral infections), destructive noninfectious granulomas involving skin, mucosa and internal organs and various autoimmune manifestations (including cytopenia, vitiligo, psoriasis, myasthenia gravis, enteropathy). Immunophenotypically, T-cell and B-cell lymphopenia, hypogammaglobulinaemia, abnormal specific antibody production and impaired T-cell function are observed."
blood in the uterus,C0269209,Hydrometrocolpos,3,,48,33.2404,,and_definitions;phrase_definitions,,Hydrometrocolpos is an accumulation of uterine and vaginal secretions as well as menstrual blood in the uterus and vagina. [PMID:24046799]
infection acquired during birth,C3691282,"IVD Test Reagent/Kits, Serology, Bacteria, Listeria monocytogenes, Antibody",5,,46,46.8349,,and_definitions;phrase_definitions,,"Serology reagents intended to detect antibodies to Listeria monocytogenes, a species of bacterium closely resembling bacteria of the family Corynebacteriaceae. Listeria monocytogenes bacteria are the cause of listeriosis. In utero infection can result in abortion, stillbirth, or premature birth; infection acquired during birth can cause cardiorespiratory distress, diarrhea, vomiting, and meningitis; and infection in adults can produce meningitis, endocarditis, and disseminated granulomatous lesions."
